"ICD10","ICD10Descr"
"I70521","Athscl nonaut bio bypass of the extrm w rest pain, right leg"
"I70621","Athscl nonbiol bypass of the extrm w rest pain, right leg"
"I70708","Unsp athscl type of bypass of the extremities, oth extremity"
"I70401","Unsp athscl autologous vein bypass of the extrm, right leg"
"I70602","Unsp athscl nonbiol bypass of the extremities, left leg"
"I7032","Athscl unsp type bypass of the extremities w rest pain"
"I7051","Athscl nonaut bio bypass of the extremities intrmt claud"
"I7042","Athscl autologous vein bypass of the extremities w rest pain"
"I70603","Unsp athscl nonbiol bypass of the extrm, bilateral legs"
"I70549","Athscl nonaut bio bypass of left leg w ulcer of unsp site"
"I70545","Athscl nonaut bio bypass of left leg w ulcer oth prt foot"
"I70601","Unsp athscl nonbiol bypass of the extremities, right leg"
"I7091","Generalized atherosclerosis"
"I70408","Unsp athscl autol vein bypass of the extrm, oth extremity"
"I70213","Athscl native arteries of extrm w intrmt claud, bi legs"
"I70434","Athscl autol vein bypass of r leg w ulcer of heel and midft"
"I70429","Athscl autol vein bypass of extrm w rest pain, unsp extrm"
"I70293","Oth athscl native arteries of extremities, bilateral legs"
"I70211","Athscl native arteries of extrm w intrmt claud, right leg"
"I70222","Athscl native arteries of extremities w rest pain, left leg"
"I70302","Unsp athscl unsp type bypass of the extremities, left leg"
"I7020","Unsp atherosclerosis of native arteries of extremities"
"I7103","Dissection of thoracoabdominal aorta"
"I7040","Unsp athscl autologous vein bypass of the extremities"
"I7090","Unspecified atherosclerosis"
"I70203","Unsp athscl native arteries of extremities, bilateral legs"
"I70329","Athscl unsp type bypass of the extrm w rest pain, unsp extrm"
"I70491","Oth athscl autologous vein bypass of the extrm, right leg"
"I70468","Athscl autol vein bypass of the extrm w gangrene, oth extrm"
"I7043","Athscl autologous vein bypass of the right leg w ulceration"
"I70523","Athscl nonaut bio bypass of the extrm w rest pain, bi legs"
"I70318","Athscl unsp type bypass of extrm w intrmt claud, oth extrm"
"I70363","Athscl unsp type bypass of the extrm w gangrene, bi legs"
"I701","Atherosclerosis of renal artery"
"I70431","Athscl autol vein bypass of the right leg w ulcer of thigh"
"I70202","Unsp athscl native arteries of extremities, left leg"
"I70498","Oth athscl autol vein bypass of the extrm, oth extremity"
"I70212","Athscl native arteries of extrm w intrmt claud, left leg"
"I700","Atherosclerosis of aorta"
"I70501","Unsp athscl nonaut bio bypass of the extremities, right leg"
"I7062","Athscl nonbiological bypass of the extremities w rest pain"
"I7061","Athscl nonbiol bypass of the extremities w intrmt claud"
"I70733","Athscl type of bypass of the right leg w ulceration of ankle"
"I7046","Athscl autologous vein bypass of the extremities w gangrene"
"I70361","Athscl unsp type bypass of the extrm w gangrene, right leg"
"I7052","Athscl nonaut bio bypass of the extremities w rest pain"
"I70745","Athscl type of bypass of the left leg w ulcer oth prt foot"
"I70628","Athscl nonbiol bypass of the extrm w rest pain, oth extrm"
"Z95811","Presence of heart assist device"
"I70399","Oth athscl unsp type bypass of the extrm, unsp extremity"
"I70761","Athscl type of bypass of the extrm w gangrene, right leg"
"I715","Thoracoabdominal aortic aneurysm, ruptured"
"I70499","Oth athscl autol vein bypass of the extrm, unsp extremity"
"I7060","Unsp athscl nonbiological bypass graft(s) of the extremities"
"I70345","Athscl unsp type bypass of the left leg w ulcer oth prt foot"
"I71","Aortic aneurysm and dissection"
"I70349","Athscl unsp type bypass of the left leg w ulcer of unsp site"
"I70623","Athscl nonbiol bypass of the extrm w rest pain, bi legs"
"I70663","Athscl nonbiol bypass of the extrm w gangrene, bi legs"
"I7041","Athscl autologous vein bypass of the extrm w intrmt claud"
"I70393","Oth athscl unsp type bypass of the extrm, bilateral legs"
"I7079","Oth athscl type of bypass graft(s) of the extremities"
"I70245","Athscl native arteries of left leg w ulceration oth prt foot"
"I70719","Athscl type of bypass of extrm w intrmt claud, unsp extrm"
"I7073","Athscl type of bypass graft(s) of the right leg w ulceration"
"Z95820","Peripheral vascular angioplasty status w implants and grafts"
"I70469","Athscl autol vein bypass of the extrm w gangrene, unsp extrm"
"I70418","Athscl autol vein bypass of extrm w intrmt claud, oth extrm"
"I7039","Oth athscl unsp type bypass graft(s) of the extremities"
"I70703","Unsp athscl type of bypass of the extrm, bilateral legs"
"I70701","Unsp athscl type of bypass of the extremities, right leg"
"I70201","Unsp athscl native arteries of extremities, right leg"
"I70331","Athscl unsp type bypass of the right leg w ulcer of thigh"
"I70728","Athscl type of bypass of the extrm w rest pain, oth extrm"
"I7100","Dissection of unspecified site of aorta"
"I70333","Athscl unsp type bypass of the right leg w ulcer of ankle"
"I703","Athscl unsp type bypass graft(s) of the extremities"
"I70323","Athscl unsp type bypass of the extrm w rest pain, bi legs"
"I70511","Athscl nonaut bio bypass of extrm w intrmt claud, right leg"
"I70503","Unsp athscl nonaut bio bypass of the extrm, bilateral legs"
"I7101","Dissection of thoracic aorta"
"I70309","Unsp athscl unsp type bypass of the extrm, unsp extremity"
"I70599","Oth athscl nonaut bio bypass of the extrm, unsp extremity"
"I70232","Athscl native arteries of right leg w ulceration of calf"
"I7389","Other specified peripheral vascular diseases"
"I70618","Athscl nonbiol bypass of the extrm w intrmt claud, oth extrm"
"I7075","Athscl type of bypass graft(s) of extremity w ulceration"
"I70348","Athscl unsp type bypass of left leg w ulcer oth prt low leg"
"I70344","Athscl unsp type bypass of left leg w ulc of heel and midft"
"I70332","Athscl unsp type bypass of the right leg w ulcer of calf"
"I70748","Athscl type of bypass of left leg w ulcer oth prt low leg"
"I7074","Athscl type of bypass graft(s) of the left leg w ulceration"
"I70228","Athscl native arteries of extrm w rest pain, oth extremity"
"I70435","Athscl autol vein bypass of right leg w ulcer oth prt foot"
"I7022","Athscl native arteries of extremities w rest pain"
"I70632","Athscl nonbiol bypass of the right leg w ulceration of calf"
"I70729","Athscl type of bypass of the extrm w rest pain, unsp extrm"
"I70763","Athscl type of bypass of the extrm w gangrene, bi legs"
"I70692","Oth athscl nonbiological bypass of the extremities, left leg"
"I7053","Athscl nonaut bio bypass of the right leg w ulceration"
"I70699","Oth athscl nonbiol bypass of the extremities, unsp extremity"
"I7033","Athscl unsp type bypass of the right leg w ulceration"
"I70343","Athscl unsp type bypass of the left leg w ulcer of ankle"
"I70403","Unsp athscl autol vein bypass of the extrm, bilateral legs"
"I70298","Oth athscl native arteries of extremities, oth extremity"
"I70645","Athscl nonbiol bypass of the left leg w ulcer oth prt foot"
"I70445","Athscl autol vein bypass of left leg w ulcer oth prt foot"
"I70423","Athscl autol vein bypass of the extrm w rest pain, bi legs"
"I7056","Athscl nonaut bio bypass of the extremities w gangrene"
"I710","Dissection of aorta"
"I70308","Unsp athscl unsp type bypass of the extrm, oth extremity"
"I7021","Athscl native arteries of extremities w intermittent claud"
"I70548","Athscl nonaut bio bypass of left leg w ulcer oth prt low leg"
"I702","Atherosclerosis of native arteries of the extremities"
"I70608","Unsp athscl nonbiol bypass of the extremities, oth extremity"
"I70544","Athscl nonaut bio bypass of left leg w ulc of heel and midft"
"I70412","Athscl autol vein bypass of extrm w intrmt claud, left leg"
"I70734","Athscl type of bypass of right leg w ulcer of heel and midft"
"I70231","Athscl native arteries of right leg w ulceration of thigh"
"I70243","Athscl native arteries of left leg w ulceration of ankle"
"I70311","Athscl unsp type bypass of extrm w intrmt claud, right leg"
"I70432","Athscl autol vein bypass of the right leg w ulcer of calf"
"I70493","Oth athscl autol vein bypass of the extrm, bilateral legs"
"I7070","Unsp athscl type of bypass graft(s) of the extremities"
"I70261","Athscl native arteries of extremities w gangrene, right leg"
"I70531","Athscl nonaut bio bypass of the right leg w ulcer of thigh"
"I70342","Athscl unsp type bypass of the left leg w ulceration of calf"
"I70749","Athscl type of bypass of the left leg w ulcer of unsp site"
"I7071","Athscl type of bypass of the extremities w intrmt claud"
"I70419","Athscl autol vein bypass of extrm w intrmt claud, unsp extrm"
"I70463","Athscl autol vein bypass of the extrm w gangrene, bi legs"
"I70722","Athscl type of bypass of the extrm w rest pain, left leg"
"I70209","Unsp athscl native arteries of extremities, unsp extremity"
"I70762","Athscl type of bypass of the extrm w gangrene, left leg"
"I70339","Athscl unsp type bypass of right leg w ulcer of unsp site"
"I70638","Athscl nonbiol bypass of right leg w ulcer oth prt low leg"
"I70248","Athscl native art of left leg w ulcer oth prt lower left leg"
"I70642","Athscl nonbiol bypass of the left leg w ulceration of calf"
"I70442","Athscl autol vein bypass of the left leg w ulcer of calf"
"I70769","Athscl type of bypass of the extrm w gangrene, unsp extrm"
"I70233","Athscl native arteries of right leg w ulceration of ankle"
"I70534","Athscl nonaut bio bypass of r leg w ulcer of heel and midft"
"I707","Athscl type of bypass graft(s) of the extremities"
"I70648","Athscl nonbiol bypass of left leg w ulcer oth prt low leg"
"I70738","Athscl type of bypass of right leg w ulcer oth prt low leg"
"I7045","Athscl autologous vein bypass of extremity w ulceration"
"I70743","Athscl type of bypass of the left leg w ulceration of ankle"
"I7054","Athscl nonautologous bio bypass of the left leg w ulceration"
"I739","Peripheral vascular disease, unspecified"
"I70263","Athscl native arteries of extrm w gangrene, bilateral legs"
"I7031","Athscl unsp type bypass of the extremities w intrmt claud"
"I70439","Athscl autol vein bypass of right leg w ulcer of unsp site"
"I711","Thoracic aortic aneurysm, ruptured"
"I70562","Athscl nonaut bio bypass of the extrm w gangrene, left leg"
"I70449","Athscl autol vein bypass of left leg w ulcer of unsp site"
"I70411","Athscl autol vein bypass of extrm w intrmt claud, right leg"
"I70712","Athscl type of bypass of the extrm w intrmt claud, left leg"
"I70591","Oth athscl nonaut bio bypass of the extremities, right leg"
"I70793","Oth athscl type of bypass of the extremities, bilateral legs"
"I70542","Athscl nonaut bio bypass of the left leg w ulcer of calf"
"I731","Thromboangiitis obliterans [Buerger's disease]"
"I70444","Athscl autol vein bypass of left leg w ulc of heel and midft"
"I70421","Athscl autol vein bypass of the extrm w rest pain, right leg"
"I70563","Athscl nonaut bio bypass of the extrm w gangrene, bi legs"
"I7064","Athscl nonbiological bypass of the left leg w ulceration"
"Z95828","Presence of other vascular implants and grafts"
"I70568","Athscl nonaut bio bypass of the extrm w gangrene, oth extrm"
"I70268","Athscl native arteries of extrm w gangrene, oth extremity"
"I792",
"I70744","Athscl type of bypass of left leg w ulcer of heel and midft"
"I719","Aortic aneurysm of unspecified site, without rupture"
"I70662","Athscl nonbiol bypass of the extrm w gangrene, left leg"
"I70369","Athscl unsp type bypass of the extrm w gangrene, unsp extrm"
"I7044","Athscl autologous vein bypass of the left leg w ulceration"
"I70739","Athscl type of bypass of the right leg w ulcer of unsp site"
"I70508","Unsp athscl nonaut bio bypass of the extrm, oth extremity"
"I70611","Athscl nonbiol bypass of the extrm w intrmt claud, right leg"
"I7024","Atherosclerosis of native arteries of left leg w ulceration"
"I70461","Athscl autol vein bypass of the extrm w gangrene, right leg"
"I70702","Unsp athscl type of bypass of the extremities, left leg"
"I70723","Athscl type of bypass of the extrm w rest pain, bi legs"
"I70221","Athscl native arteries of extremities w rest pain, right leg"
"I7035","Athscl unsp type bypass graft(s) of extremity w ulceration"
"I70649","Athscl nonbiol bypass of the left leg w ulcer of unsp site"
"I70409","Unsp athscl autol vein bypass of the extrm, unsp extremity"
"I70598","Oth athscl nonaut bio bypass of the extrm, oth extremity"
"I70539","Athscl nonaut bio bypass of right leg w ulcer of unsp site"
"Z492",
"Z4902","Encounter for fit/adjst of peritoneal dialysis catheter"
"N033","Chronic neph syndrome w diffuse mesangial prolif glomrlneph"
"I1310","Hyp hrt & chr kdny dis w/o hrt fail, w stg 1-4/unsp chr kdny"
"N18","Chronic kidney disease (CKD)"
"Z491",
"N184","Chronic kidney disease, stage 4 (severe)"
"N189","Chronic kidney disease, unspecified"
"N054","Unsp neph syndrome w diffuse endocaplry prolif glomrlneph"
"N036","Chronic nephritic syndrome with dense deposit disease"
"N186","End stage renal disease"
"N055","Unsp nephritic syndrome w diffuse mesangiocap glomrlneph"
"I120","Hyp chr kidney disease w stage 5 chr kidney disease or ESRD"
"N056","Unspecified nephritic syndrome with dense deposit disease"
"N032","Chronic nephritic syndrome w diffuse membranous glomrlneph"
"N057","Unsp nephritic syndrome w diffuse crescentic glomrlneph"
"N034","Chronic neph syndrome w diffuse endocaplry prolif glomrlneph"
"Z490","Preparatory care for renal dialysis"
"N183","Chronic kidney disease, stage 3 (moderate)"
"Z992","Dependence on renal dialysis"
"N250","Renal osteodystrophy"
"N053","Unsp neph syndrome w diffuse mesangial prolif glomrlneph"
"I1311","Hyp hrt and chr kdny dis w/o hrt fail, w stg 5 chr kdny/ESRD"
